stage,act,chapter,index,kingdom,boss,objectives,moves,time_s,target,difficulty,casual_win,casual_win_assist,casual_avg_score,average_win,average_win_assist,average_avg_score,expert_win,expert_win_assist,expert_avg_score
1,1,1,1,North,None,ReachScore:11810,30,900,11810,0,100,100,15562,100,100,18986,100,100,22925
2,1,1,2,North,None,ReachScore:13950,30,900,13950,6,83,100,17445,100,100,16100,100,100,17348
3,1,1,3,North,None,ReachScore:8443,30,900,8443,12,100,100,11406,100,100,13964,100,100,11744
4,1,1,4,North,None,ReachScore:17100,30,900,17100,18,67,100,19105,100,100,20767,100,100,22060
5,1,1,5,North,None,ReachScore:10700,30,900,10700,25,83,100,11818,100,100,25070,100,100,12891
6,1,1,6,North,None,ReachScore:10900,30,900,10900,31,100,100,14620,100,100,18514,100,100,13450
7,1,1,7,North,None,ReachScore:16419,30,900,16419,37,67,100,23061,100,100,23624,100,100,20265
8,1,1,8,North,None,ReachScore:11493,30,900,11493,44,100,100,17753,100,100,14465,100,100,17127
9,1,1,9,North,None,ReachScore:20567,30,900,20567,50,33,83,15799,67,100,22599,100,100,28246
10,1,1,10,North,MiniBoss,DefeatBoss:7000,35,900,7000,56,100,100,11216,100,100,11409,100,100,11104
11,1,1,11,North,None,ReachScore:6400,30,900,6400,63,83,100,8601,100,100,9788,100,100,9570
12,1,1,12,North,None,CollectColor:21,0,98,2800,69,67,100,6826,100,100,9071,100,100,11107
13,1,1,13,North,None,ReachScore:7108,30,900,7108,75,83,100,8566,100,100,9795,100,100,11358
14,1,1,14,North,None,ReachScore:7089,30,900,7089,82,67,83,8416,100,100,8737,100,100,7702
15,1,1,15,North,None,ReachScore:7900 + CollectColor:23,30,900,7900,88,100,100,13908,100,100,11543,100,100,11570
16,1,1,16,North,None,ReachScore:7577,0,97,7577,94,67,100,7281,83,100,9793,100,100,9680
17,1,1,17,North,None,CollectColor:26,29,900,2800,101,100,100,9459,83,100,10286,100,100,16232
18,1,1,18,North,None,ReachScore:8700,29,900,8700,107,100,100,10206,83,100,10461,100,100,11197
19,1,1,19,North,None,ReachScore:7550,29,900,7550,113,83,100,9629,100,100,10899,100,100,9974
20,1,1,20,North,ChapterBoss,DefeatBoss:7450,34,900,7450,120,100,100,12616,100,100,11304,100,100,11203
21,1,2,1,North,None,ReachScore:9839,30,900,9839,94,33,50,8018,50,100,10377,100,100,13084
22,1,2,2,North,None,CollectColor:22,30,900,2750,98,100,100,7016,100,100,6780,100,100,9047
23,1,2,3,North,None,ReachScore:6723,29,900,6723,103,83,100,9972,100,100,9388,100,100,10384
24,1,2,4,North,None,BreakStones:5,0,96,2950,137,100,100,2726,100,100,2591,100,100,2839
25,1,2,5,North,None,ReachScore:7312 + CollectColor:15,29,900,7312,141,50,100,7191,83,100,8332,100,100,8795
26,1,2,6,North,None,ReachScore:7200,29,900,7200,146,33,100,6299,100,100,9553,100,100,8506
27,1,2,7,North,None,CollectColor:27,29,900,3000,150,100,100,7158,100,100,8998,100,100,11410
28,1,2,8,North,None,ReachScore:10500,29,900,10500,154,33,100,9280,100,100,12398,100,100,13728
29,1,2,9,North,None,BreakStones:5,0,96,2900,159,100,100,2334,100,100,2386,100,100,2310
30,1,2,10,North,MiniBoss,DefeatBoss:7800,34,900,7800,163,100,100,9513,100,100,11048,100,100,12514
31,1,2,11,North,None,ReachScore:9321,29,900,9321,167,67,83,10257,83,100,11823,100,100,17858
32,1,2,12,North,None,CollectColor:35,0,95,2800,172,83,100,8998,100,100,9121,100,100,9195
33,1,2,13,North,None,ReachScore:7950,29,900,7950,176,33,100,7007,100,100,10166,100,100,9198
34,1,2,14,North,None,BreakStones:5,29,900,2800,180,100,100,5818,100,100,5386,100,100,5436
35,1,2,15,North,None,ReachScore:10150 + CollectColor:18,29,900,10150,185,83,83,11387,83,100,11180,100,100,11122
36,1,2,16,North,None,ReachScore:10520,0,95,10520,189,50,50,11133,50,100,10729,100,100,11846
37,1,2,17,North,None,CollectColor:66,29,900,2850,193,0,0,7877,0,17,9240,100,100,20438
38,1,2,18,North,None,ReachScore:9945,29,900,9945,198,17,83,8421,33,100,13081,100,100,13952
39,1,2,19,North,None,BreakStones:5,28,900,3100,202,100,100,4681,100,100,5281,100,100,4362
40,1,2,20,North,ChapterBoss,DefeatBoss:7200,33,900,7200,206,100,100,9640,100,100,10414,100,100,11732
41,1,3,1,North,None,ReachScore:10270,29,900,10270,181,50,83,9840,83,100,12728,100,100,13764
42,1,3,2,North,None,CollectColor:22,29,900,2800,185,50,100,7053,83,83,9385,100,100,13788
43,1,3,3,North,None,ClearIce:9,29,900,2450,189,83,100,5473,100,100,5468,100,100,5394
44,1,3,4,North,None,BreakStones:5,0,94,3150,224,100,100,3336,100,100,3593,100,100,2666
45,1,3,5,North,None,ReachScore:8067 + CollectColor:30,28,900,8067,228,83,100,8666,67,100,8726,100,100,10824
46,1,3,6,North,None,ReachScore:6350,28,900,6350,232,100,100,8401,100,100,9325,100,100,7945
47,1,3,7,North,None,CollectColor:32,28,900,2800,237,83,100,10109,100,100,10759,100,100,11396
48,1,3,8,North,None,ClearIce:9,28,900,2900,241,100,100,6048,100,100,6408,100,100,7894
49,1,3,9,North,None,BreakStones:5,0,93,2900,245,100,100,3087,100,100,2878,100,100,2791
50,1,3,10,North,MiniBoss,DefeatBoss:8350,33,900,8350,250,50,100,10029,100,100,11590,100,100,11931
